SiteID,SiteName,SensorGroup,Backend,Access,Usr,Pwd,Latitude,Longitude,Owner,Contact,ProviderURL,NetworkInfoWebsite,Description,ServerName
BoMLatest_94596_IDN60801,Ballina,BoM,BoM_Latest,Public,NA,NA,-28.8353,153.5585,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94599_IDN60801,Cape Byron,BoM,BoM_Latest,Public,NA,NA,-28.6399,153.6358,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94573_IDN60801,Casino,BoM,BoM_Latest,Public,NA,NA,-28.8824,153.0618,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94592_IDN60801,Coolangatta,BoM,BoM_Latest,Public,NA,NA,-28.1681,153.5053,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94598_IDN60801,Evans Head,BoM,BoM_Latest,Public,NA,NA,-29.183,153.3964,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_95571_IDN60801,Grafton AgRS,BoM,BoM_Latest,Public,NA,NA,-29.6224,152.9605,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_95570_IDN60801,Grafton Airport,BoM,BoM_Latest,Public,NA,NA,-29.7583,153.0297,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94572_IDN60801,Lismore Airport,BoM,BoM_Latest,Public,NA,NA,-28.8305,153.2601,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94582_IDN60801,Murwillumbah,BoM,BoM_Latest,Public,NA,NA,-28.3395,153.3809,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94589_IDN60801,Yamba,BoM,BoM_Latest,Public,NA,NA,-29.4335,153.3632,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_95729_IDN60801,Coffs Harbour Airport,BoM,BoM_Latest,Public,NA,NA,-30.3189,153.1162,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94789_IDN60801,Dorrigo,BoM,BoM_Latest,Public,NA,NA,-30.3444,152.7187,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_95778_IDN60801,Forster,BoM,BoM_Latest,Public,NA,NA,-32.1756,152.5089,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94785_IDN60801,Kempsey Airport,BoM,BoM_Latest,Public,NA,NA,-31.0711,152.7717,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94783_IDN60801,Mount Seaview,BoM,BoM_Latest,Public,NA,NA,-31.3865,152.2482,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94786_IDN60801,Port Macquarie Airport,BoM,BoM_Latest,Public,NA,NA,-31.4335,152.8655,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94790_IDN60801,Smoky Cape,BoM,BoM_Latest,Public,NA,NA,-30.9225,153.0871,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_95784_IDN60801,Taree Airport,BoM,BoM_Latest,Public,NA,NA,-31.8896,152.512,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_95771_IDN60801,Cessnock Airport,BoM,BoM_Latest,Public,NA,NA,-32.7886,151.3377,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
BoMLatest_94782_IDN60801,Gosford,BoM,BoM_Latest,Public,NA,NA,-33.4351,151.3614,Bureau of Meteorology,ross.searle@csiro.au,http://www.bom.gov.au,http://www.bom.gov.au,Latest 72 hours weather observations for each station (30 min intervals).,http://www.bom.gov.au/products
